2008,Internal Service Funds,Internal Service,Internal Service Funds:Internal Service,Administration and Finance,GENERAL SERVICES AGENCY - CITY ADMIN,Administration and Finance:GENERAL SERVICES AGENCY - CITY ADMIN,Expense,MATERIALS & SUPPLIES,Expense:MATERIALS & SUPPLIES,8921048
2008,General Funds,General,General Funds:General,Public Protection,JUVENILE PROBATION,Public Protection:JUVENILE PROBATION,Expense,CAPITAL OUTLAY,Expense:CAPITAL OUTLAY,915174
2008,Enterprise Funds,Enterprise,Enterprise Funds:Enterprise,Public Works,HETCH HETCHY,Public Works:HETCH HETCHY,Expense,SALARIES,Expense:SALARIES,21054576
2008,General Funds,General,General Funds:General,Public Protection,SHERIFF,Public Protection:SHERIFF,Revenue,CHARGES FOR SERVICES,Revenue:CHARGES FOR SERVICES,2071813
2008,Enterprise Funds,Enterprise,Enterprise Funds:Enterprise,Public Works,PORT,Public Works:PORT,Expense,INTRAFUND TRANSFERS OUT,Expense:INTRAFUND TRANSFERS OUT,10927524
2008,General Funds,General,General Funds:General,Community Health,PUBLIC HEALTH,Community Health:PUBLIC HEALTH,Expense,FACILITIES MAINTENANCE,Expense:FACILITIES MAINTENANCE,397688
2008,General Funds,General,General Funds:General,Public Protection,ADULT PROBATION,Public Protection:ADULT PROBATION,Expense,NON PERSONNEL SERVICES,Expense:NON PERSONNEL SERVICES,24156800
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Administration and Finance,GENERAL SERVICES AGENCY - CITY ADMIN,Administration and Finance:GENERAL SERVICES AGENCY - CITY ADMIN,Revenue,BUSINESS TAXES,Revenue:BUSINESS TAXES,835000
2008,General Funds,General,General Funds:General,Public Protection,ADULT PROBATION,Public Protection:ADULT PROBATION,Expense,CAPITAL OUTLAY,Expense:CAPITAL OUTLAY,7400
2008,General Funds,General,General Funds:General,Public Protection,FIRE DEPARTMENT,Public Protection:FIRE DEPARTMENT,Expense,MATERIALS & SUPPLIES,Expense:MATERIALS & SUPPLIES,2577970
2008,Capital Project Funds,Capital Project,Capital Project Funds:Capital Project,Administration and Finance,GENERAL SERVICES AGENCY - CITY ADMIN,Administration and Finance:GENERAL SERVICES AGENCY - CITY ADMIN,Expense,CAPITAL OUTLAY,Expense:CAPITAL OUTLAY,5000000
2008,General Funds,General,General Funds:General,Public Works,GENERAL SERVICES AGENCY - PUBLIC WORKS,Public Works:GENERAL SERVICES AGENCY - PUBLIC WORKS,Expense,OVERHEAD,Expense:OVERHEAD,21301502
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Human Welfare,HUMAN SERVICES,Human Welfare:HUMAN SERVICES,Expense,MANDATORY FRINGE BENEFITS,Expense:MANDATORY FRINGE BENEFITS,155047
2008,General Funds,General,General Funds:General,Public Protection,DISTRICT ATTORNEY,Public Protection:DISTRICT ATTORNEY,Revenue,INTERGOVERNMENTAL REVENUES-STATE,Revenue:INTERGOVERNMENTAL REVENUES-STATE,15492
2008,General Funds,General,General Funds:General,Administration and Finance,GENERAL CITY RESPONSIBILITY,Administration and Finance:GENERAL CITY RESPONSIBILITY,Expense,CAPITAL OUTLAY,Expense:CAPITAL OUTLAY,2020000
2008,General Funds,General,General Funds:General,Administration and Finance,CITY PLANNING,Administration and Finance:CITY PLANNING,Revenue,EXPENDITURE RECOVERY,Revenue:EXPENDITURE RECOVERY,2063250
2008,General Funds,General,General Funds:General,Administration and Finance,CIVIL SERVICE COMMISSION,Administration and Finance:CIVIL SERVICE COMMISSION,Expense,NON PERSONNEL SERVICES,Expense:NON PERSONNEL SERVICES,3200
2008,General Funds,General,General Funds:General,Culture and Recreation,FINE ARTS MUSEUM,Culture and Recreation:FINE ARTS MUSEUM,Expense,NON PERSONNEL SERVICES,Expense:NON PERSONNEL SERVICES,103748
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Culture and Recreation,WAR MEMORIAL,Culture and Recreation:WAR MEMORIAL,Revenue,EXPENDITURE RECOVERY,Revenue:EXPENDITURE RECOVERY,561057
2008,Other Agency Funds,Other Agency,Other Agency Funds:Other Agency,Administration and Finance,TREASURER/TAX COLLECTOR,Administration and Finance:TREASURER/TAX COLLECTOR,Expense,SALARIES,Expense:SALARIES,196278
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Administration and Finance,GENERAL SERVICES AGENCY - TECHNOLOGY,Administration and Finance:GENERAL SERVICES AGENCY - TECHNOLOGY,Expense,NON PERSONNEL SERVICES,Expense:NON PERSONNEL SERVICES,1613925
2008,General Funds,General,General Funds:General,Public Protection,FIRE DEPARTMENT,Public Protection:FIRE DEPARTMENT,Revenue,RENTS & CONCESSIONS,Revenue:RENTS & CONCESSIONS,549644
2008,General Funds,General,General Funds:General,Administration and Finance,GENERAL SERVICES AGENCY - TECHNOLOGY,Administration and Finance:GENERAL SERVICES AGENCY - TECHNOLOGY,Expense,FACILITIES MAINTENANCE,Expense:FACILITIES MAINTENANCE,27563
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Other,SUPERIOR COURT,Other:SUPERIOR COURT,Expense,SERVICES OF OTHER DEPTS,Expense:SERVICES OF OTHER DEPTS,35462
2008,General Funds,General,General Funds:General,Administration and Finance,HUMAN RESOURCES,Administration and Finance:HUMAN RESOURCES,Expense,CAPITAL OUTLAY,Expense:CAPITAL OUTLAY,902000
